Content Genre,Video Title,Video URL,Video Cover Picture URL,Duration,Digital Tracker (Goo.gl)
Korean,Goblin EP2,http://view.vzaar.com/11991981/video,http://i3.ytimg.com/vi/EYD_iAV8mR8/maxresdefault.jpg,1:16:38,
Korean,Goblin EP11,http://view.vzaar.com/12211908/video,http://d263ao8qih4miy.cloudfront.net/wp-content/uploads/2017/01/goblin11-00045.jpg,1:15:51,
Korean,Legend of the Blue Sea Ep12,http://view.vzaar.com/12211875/video,https://cdn.inquisitr.com/wp-content/uploads/2016/12/the-legend-of-the-blue-sea-episode-14-delayed.jpg,59:17,
Korean,Legend of the Blue Sea Ep15,http://view.vzaar.com/12211895/video,https://cdn.inquisitr.com/wp-content/uploads/2016/12/the-legend-of-the-blue-sea-episode-14-delayed.jpg,59:55,
Chinese,Ode to Joy Ep01,https://www.youtube.com/watch?v=4wGpu56WQGQ,http://news.xinhuanet.com/english/2016-07/08/135498484_14679632708741n.jpg,43:09,
Chinese,Ode to Joy Ep02,https://www.youtube.com/watch?v=2PN5IIEViu8,http://news.xinhuanet.com/english/2016-07/08/135498484_14679632708741n.jpg,43:05,
Chinese,Ode to Joy Ep03,https://www.youtube.com/watch?v=aocYkY49_bs,http://news.xinhuanet.com/english/2016-07/08/135498484_14679632708741n.jpg,43:21,
Malay,Girlfriend Aku Dari Neraka EP01,http://view.vzaar.com/12211023/video,http://s1.dmcdn.net/nT50r/1280x720-tpF.jpg,21:30,
Malay,Girlfriend Aku Dari Neraka EP02,http://view.vzaar.com/12211036/video,https://i.ytimg.com/vi/0o2YEKVhkBY/maxresdefault.jpg,22:00,
Malay,Girlfriend Aku Dari Neraka EP03,http://view.vzaar.com/12211065/video,https://s3-ap-southeast-1.amazonaws.com/ams-astro/production/images/OTT_LAND_200DA.jpg,22:23,
Malay,Surihati Mr. Pilot EP01,http://view.vzaar.com/12211931/video,https://i.ytimg.com/vi/aSXT8eE6UU8/maxresdefault.jpg,59:17,
Malay,Surihati Mr. Pilot EP02,http://view.vzaar.com/12211958/video,https://pic.rutube.ru/video/39/9a/399a27f8f999b77cebb29ea1de6806de.jpg,59:55,